Тип конструкции,Название модели,Артикул,Цвет,"Объем, л",Кол-во ТЭНов,Кол-во программ,Список программ,"Мощность, Вт",Материал корпуса,Покрытие чаши,Покрытие решетки,Температура,Время,Особенности,Комплектация,Совместимость с акскессуарами,Пример вместимости
С дверцей,TISON c wi-fi,DK-1416,темно-серый,"14,5",2 (сверху и снизу),16,"Курица, разморозка, крылья, сушка, мясо, картофель фри, рыба, овощи, попкорн, йогурт/тесто, выпечка, шашлык, пицца, подогрев, тосты, печенье.","1700 Вт (1200 Вт верх, 500 Вт низ)",нержавеющая сталь,нет чаши,нержавеющая сталь,40 - 220С,1 минута - 480 минут,"Отложенный старт до 9ч 59 минут, умная пауза, функция вращения, визуальное окно, автоматическая подсветка, стальной корпус и камера, c wi-fi","Аэрогриль, вертел, вращающаяся корзина, цанга (ручка), сетчатая корзина, решетка, поддон для сбора масла, руководство по эксплуатации, книга рецептов","АА-101 — держатель для шампуров
АА-102 — клетка для стейка
АА-103 — держатель для тостов
АА-104 — корзина с ручкой
АА-105 — форма для выпечки
АА-106 — сетчатая корзина
АА-107 — решетка
АА-108 — поддон для сбора масла
АА-113 — бумажные вкладыши круглые
АА-117 — чаша круглая
АА-120 — форма для пончиков (6 ячеек)
АА-121 — форма для пончиков (6 ячеек «сердца»)
АА-122 — форма для пончиков (6 ячеек «микс»)
АА-123 — форма для пончиков (6 ячеек «цветы»)
АА-124 — форма для запекания прямоугольная
АА-125 — форма круглая 21,5 см
АА-126 — форма рельефная 25 см
АА-127 — форма квадратная 24 см
АА-128 — форма круглая 24,5 см
АА-129 — противень круглый
АА-130 — противень для пиццы
АА-131 — формы для кексов
АА-132 — формы прямоугольные 10×7 см
АА-133 — формы квадратные 7×7 см
АА-134 — формы «сердце»
АА-135 — формы «круг»
АА-136 — формы «цветок»
АА-137 — форма для хлеба
АА-138 — форма для тирамису
АА-139 — форма круглая 18,5 см
АА-140 — формы «лапка»
АА-141 — формы «медведи»
АА-142 — формы «сердце»
АА-143 — формы «банан»
АА-144 — формы «бобы»
АА-145 — формы «тигренок»
АА-146 — силиконовая форма
АА-148 — бумажные вкладыши квадратные
АА-151 — решетка с шампурами
АА-191 — сетчатая корзина для аэрогрилей
АА-253 — круглая форма для аэрогриля с крышкой-пароваркой","Картофель фри : 3-4 порции
Свиные стейки : 5-6 шт
Рыбные стейки : 5-6 шт крупные
Куриные крылья : 16-20 шт
Котлеты : 16 -20 штук
Целая курица: небольшая (до 1,2 кг примерно)"
С дверцей,WAISON c wi-fi,DK-1800,темно-серый,"14,5",2 (сверху и снизу),12,"Выпечка, бекон, картофель фри, крылья, курица, рыба, мясо, сушка, шашлык, пицца, тосты, разморозка.
","1700 Вт (1200 Вт верх, 500 Вт низ)",нержавеющая сталь,нет чаши,нержавеющая сталь,40 - 230С,1 минута - 480 минут,"9 аксессуаров в комплекте, умная пауза, механическая кнопка ""пуск"", функция вращения, визуальное окно, подсветка, стальной корпус и камера, c wi-fi","Аэрогриль, Вертел, Вращающаяся корзина, Цанга (ручка), Сетчатая корзина, Решетка, Поддон для сбора масла, Щипцы, Форма для запекания, Решетка для стейка, Руководство по эксплуатации, Книга рецептов","АА-101 — держатель для шампуров
АА-102 — клетка для стейка
АА-103 — держатель для тостов
АА-104 — корзина с ручкой
АА-105 — форма для выпечки
АА-106 — сетчатая корзина
АА-107 — решетка
АА-108 — поддон для сбора масла
АА-113 — бумажные вкладыши круглые
АА-117 — чаша круглая
АА-120 — форма для пончиков (6 ячеек)
АА-121 — форма для пончиков (6 ячеек «сердца»)
АА-122 — форма для пончиков (6 ячеек «микс»)
АА-123 — форма для пончиков (6 ячеек «цветы»)
АА-124 — форма для запекания прямоугольная
АА-125 — форма круглая 21,5 см
АА-126 — форма рельефная 25 см
АА-127 — форма квадратная 24 см
АА-128 — форма круглая 24,5 см
АА-129 — противень круглый
АА-130 — противень для пиццы
АА-131 — формы для кексов
АА-132 — формы прямоугольные 10×7 см
АА-133 — формы квадратные 7×7 см
АА-134 — формы «сердце»
АА-135 — формы «круг»
АА-136 — формы «цветок»
АА-137 — форма для хлеба
АА-138 — форма для тирамису
АА-139 — форма круглая 18,5 см
АА-140 — формы «лапка»
АА-141 — формы «медведи»
АА-142 — формы «сердце»
АА-143 — формы «банан»
АА-144 — формы «бобы»
АА-145 — формы «тигренок»
АА-146 — силиконовая форма
АА-148 — бумажные вкладыши квадратные
АА-151 — решетка с шампурами
АА-191 — сетчатая корзина для аэрогрилей
АА-253 — круглая форма для аэрогриля с крышкой-пароваркой","Картофель фри : 3-4 порции
Свиные стейки : 5-6 шт
Рыбные стейки : 5-6 шт крупные
Куриные крылья : 16-20 шт
Котлеты : 16 -20 штук
Целая курица: небольшая (до 1,2 кг примерно)"
С чашей,RAUNG,DK-1600,черный,"4,5",1 ТЭН сверху,8,"Картофель-фри, пицца, овощи, выпечка, куриные ножки, морепродукты, рыба, стейк.",1400,ABS пластик,керамическое,керамическое,40 - 200С,1 минута - 60 минут,"умная пауза, удобное расположение сенсорной панели","Аэрогриль, Решетка, Корзина со съемной ручкой, Руководство по эксплуатации, Книга рецептов","АА-109 — решетка для DK-1600
АА-110 — корзина для DK-1600
АА-113 — бумажные вкладыши круглые
АА-117 — чаша круглая
АА-131 — формы для кексов
АА-132 — формы прямоугольные 10×7 см
АА-133 — формы квадратные 7×7 см
АА-134 — формы «сердце»
АА-135 — формы «круг»
АА-136 — формы «цветок»
АА-137 — форма для хлеба
АА-138 — форма для тирамису
АА-139 — форма круглая 18,5 см
АА-140 — формы «лапка»
АА-141 — формы «медведи»
АА-142 — формы «сердце»
АА-143 — формы «банан»
АА-144 — формы «бобы»
АА-145 — формы «тигренок»
АА-146 — силиконовая форма
АА-148 — бумажные вкладыши квадратные
АА-151 — решетка с шампурами
АА- 191— сетчатая корзина для аэрогрилей 
АА-253 — круглая форма для аэрогриля с крышкой-пароваркой","Картофель фри : 2–3 порции
Свиные стейки : 2–3 шт
Рыбные стейки : 2 шт крупные
Куриные крылья : 8-10 шт
Котлеты : 4-6 штук
Целая курица: небольшая (до 1,2 кг примерно)"
С чашей,RAUNG,DK-1600,белый,"4,5",1 ТЭН сверху,8,"Картофель-фри, пицца, овощи, выпечка, куриные ножки, морепродукты, рыба, стейк.",1400,ABS пластик,керамическое,керамическое,40 - 200С,1 минута - 60 минут,"умная пауза, удобное расположение сенсорной панели","Аэрогриль, Решетка, Корзина со съемной ручкой, Руководство по эксплуатации, Книга рецептов","АА-109 — решетка для DK-1600
АА-110 — корзина для DK-1600
АА-113 — бумажные вкладыши круглые
АА-117 — чаша круглая
АА-131 — формы для кексов
АА-132 — формы прямоугольные 10×7 см
АА-133 — формы квадратные 7×7 см
АА-134 — формы «сердце»
АА-135 — формы «круг»
АА-136 — формы «цветок»
АА-137 — форма для хлеба
АА-138 — форма для тирамису
АА-139 — форма круглая 18,5 см
АА-140 — формы «лапка»
АА-141 — формы «медведи»
АА-142 — формы «сердце»
АА-143 — формы «банан»
АА-144 — формы «бобы»
АА-145 — формы «тигренок»
АА-146 — силиконовая форма
АА-148 — бумажные вкладыши квадратные
АА-151 — решетка с шампурами
АА- 191— сетчатая корзина для аэрогрилей 
АА-253 — круглая форма для аэрогриля с крышкой-пароваркой","Картофель фри : 2–3 порции
Свиные стейки : 2–3 шт
Рыбные стейки : 2 шт крупные
Куриные крылья : 8-10 шт
Котлеты : 4-6 штук
Целая курица: небольшая (до 1,2 кг примерно)"
С чашей,RAUNG,DK-1600,бежевый,"4,5",1 ТЭН сверху,8,"Картофель-фри, пицца, овощи, выпечка, куриные ножки, морепродукты, рыба, стейк.",1400,ABS пластик,керамическое,керамическое,40 - 200С,1 минута - 60 минут,"умная пауза, удобное расположение сенсорной панели","Аэрогриль, Решетка, Корзина со съемной ручкой, Руководство по эксплуатации, Книга рецептов","АА-109 — решетка для DK-1600
АА-110 — корзина для DK-1600
АА-113 — бумажные вкладыши круглые
АА-117 — чаша круглая
АА-131 — формы для кексов
АА-132 — формы прямоугольные 10×7 см
АА-133 — формы квадратные 7×7 см
АА-134 — формы «сердце»
АА-135 — формы «круг»
АА-136 — формы «цветок»
АА-137 — форма для хлеба
АА-138 — форма для тирамису
АА-139 — форма круглая 18,5 см
АА-140 — формы «лапка»
АА-141 — формы «медведи»
АА-142 — формы «сердце»
АА-143 — формы «банан»
АА-144 — формы «бобы»
АА-145 — формы «тигренок»
АА-146 — силиконовая форма
АА-148 — бумажные вкладыши квадратные
АА-151 — решетка с шампурами
АА- 191— сетчатая корзина для аэрогрилей 
АА-253 — круглая форма для аэрогриля с крышкой-пароваркой","Картофель фри : 2–3 порции
Свиные стейки : 2–3 шт
Рыбные стейки : 2 шт крупные
Куриные крылья : 8-10 шт
Котлеты : 4-6 штук
Целая курица: небольшая (до 1,2 кг примерно)"
С чашей,RAUNG,DK-1600,шоколад,"4,5",1 ТЭН сверху,8,"Картофель-фри, пицца, овощи, выпечка, куриные ножки, морепродукты, рыба, стейк.",1400,ABS пластик,керамическое,керамическое,40 - 200С,1 минута - 60 минут,"умная пауза, удобное расположение сенсорной панели","Аэрогриль, Решетка, Корзина со съемной ручкой, Руководство по эксплуатации, Книга рецептов","АА-109 — решетка для DK-1600
АА-110 — корзина для DK-1600
АА-113 — бумажные вкладыши круглые
АА-117 — чаша круглая
АА-131 — формы для кексов
АА-132 — формы прямоугольные 10×7 см
АА-133 — формы квадратные 7×7 см
АА-134 — формы «сердце»
АА-135 — формы «круг»
АА-136 — формы «цветок»
АА-137 — форма для хлеба
АА-138 — форма для тирамису
АА-139 — форма круглая 18,5 см
АА-140 — формы «лапка»
АА-141 — формы «медведи»
АА-142 — формы «сердце»
АА-143 — формы «банан»
АА-144 — формы «бобы»
АА-145 — формы «тигренок»
АА-146 — силиконовая форма
АА-148 — бумажные вкладыши квадратные
АА-151 — решетка с шампурами
АА- 191— сетчатая корзина для аэрогрилей 
АА-253 — круглая форма для аэрогриля с крышкой-пароваркой","Картофель фри : 2–3 порции
Свиные стейки : 2–3 шт
Рыбные стейки : 2 шт крупные
Куриные крылья : 8-10 шт
Котлеты : 4-6 штук
Целая курица: небольшая (до 1,2 кг примерно)"
С чашей,LEO с wi-fi,DK-2500,черный,6,1 ТЭН сверху,8,"Куриные ножки, стейк, рыба, выпечка, пицца, сосиски, картофель фри, бекон.",1500,ABS пластик,керамическое,керамическое,80 - 200С,1 минута - 60 минут,"Сигнал о встряхивании, умная пауза,  визуальное окно, подсветк, wi-fi","Аэрогриль, съемная решетка, шампурница, руководство по эксплуатации , книга рецептов","АА-113 — бумажные вкладыши круглые
АА-116 — решетка для DK-2500
АА-117 — чаша круглая
АА-131 — формы для кексов
АА-132 — формы прямоугольные 10×7 см
АА-133 — формы квадратные 7×7 см
АА-134 — формы «сердце»
АА-135 — формы «круг»
АА-136 — формы «цветок»
АА-137 — форма для хлеба
АА-138 — форма для тирамису
АА-139 — форма круглая 18,5 см
АА-140 — формы «лапка»
АА-141 — формы «медведи»
АА-142 — формы «сердце»
АА-143 — формы «банан»
АА-144 — формы «бобы»
АА-145 — формы «тигренок»
АА-146 — силиконовая форма
АА-148 — бумажные вкладыши квадратные
АА-151 — решетка с шампурами
АА-191 — сетчатая корзина для аэрогрилей
АА-253 — круглая форма для аэрогриля с крышкой-пароваркой","Картофель фри : 3–4 порции
Свиные стейки: 2-3 шт
Рыбные стейки : 2-3 шт
Куриные крылья : 8-10 шт
Котлеты : 4-6 штук
Целая курица: средняя (до 1.2 кг примерно)"
С чашей,LEO с wi-fi,DK-2500,белый,6,1 ТЭН сверху,8,"Куриные ножки, стейк, рыба, выпечка, пицца, сосиски, картофель фри, бекон.",1500,ABS пластик,керамическое,керамическое,80 - 200С,1 минута - 60 минут,"Сигнал о встряхивании, умная пауза,  визуальное окно, подсветк, wi-fi","Аэрогриль, съемная решетка, шампурница, руководство по эксплуатации , книга рецептов","АА-113 — бумажные вкладыши круглые
АА-116 — решетка для DK-2500
АА-117 — чаша круглая
АА-131 — формы для кексов
АА-132 — формы прямоугольные 10×7 см
АА-133 — формы квадратные 7×7 см
АА-134 — формы «сердце»
АА-135 — формы «круг»
АА-136 — формы «цветок»
АА-137 — форма для хлеба
АА-138 — форма для тирамису
АА-139 — форма круглая 18,5 см
АА-140 — формы «лапка»
АА-141 — формы «медведи»
АА-142 — формы «сердце»
АА-143 — формы «банан»
АА-144 — формы «бобы»
АА-145 — формы «тигренок»
АА-146 — силиконовая форма
АА-148 — бумажные вкладыши квадратные
АА-151 — решетка с шампурами
АА-191 — сетчатая корзина для аэрогрилей
АА-253 — круглая форма для аэрогриля с крышкой-пароваркой","Картофель фри : 3–4 порции
Свиные стейки: 2-3 шт
Рыбные стейки : 2-3 шт
Куриные крылья : 8-10 шт
Котлеты : 4-6 штук
Целая курица: средняя (до 1.2 кг примерно)"
С чашей,SANDERS с wi-fi,DK-2200,черный,6,2 (сверху и снизу),12,"Картофель фри, куриные ножки, куриные крылья, рыба, котлеты, шашлык, пицца, овощи, крупа выпечка, сушка, подогрев.","1950 (1450 Вт верх, 500 Вт низ)",Нержавеющая сталь,керамическое,керамическое,30 - 200С,1 минута - 600 минут,"Функция пара, функция сковороды, функция поддержания температуры, умная пауза, визуальное окно, автоматическая подсветка, тихий сигнал кнопок и сигнал о завершении приготовления, стальной корпус и камера, wi-fi","Аэрогриль, Резервуар для воды , Съемная решетка, съемная чаша-форма, Руководство по эксплуатации , Книга рецептов.","АА-113 — бумажные вкладыши круглые
АА-114 — решетка для DK-2200
АА-117 — чаша круглая
АА-131 — формы для кексов
АА-132 — формы прямоугольные 10×7 см
АА-133 — формы квадратные 7×7 см
АА-134 — формы «сердце»
АА-135 — формы «круг»
АА-136 — формы «цветок»
АА-137 — форма для хлеба
АА-138 — форма для тирамису
АА-139 — форма круглая 18,5 см
АА-140 — формы «лапка»
АА-141 — формы «медведи»
АА-142 — формы «сердце»
АА-143 — формы «банан»
АА-144 — формы «бобы»
АА-145 — формы «тигренок»
АА-146 — силиконовая форма
АА-148 — бумажные вкладыши квадратные
АА-151 — решетка с шампурами
АА-191 — сетчатая корзина для аэрогрилей
АА-401 — сменная чаша к аэрогрилю Demiand Sanders DK-2200
АА-253 — круглая форма для аэрогриля с крышкой-пароваркой","Картофель фри : 3–4 порции
Свиные стейки: 2-3 шт
Рыбные стейки : 2-3 шт
Куриные крылья : 8-10 шт
Котлеты : 4-6 штук
Целая курица: средняя (до 1.2 кг примерно)"
С чашей,SANDERS с wi-fi,,белый,6,2 (сверху и снизу),12,"Картофель фри, куриные ножки, куриные крылья, рыба, котлеты, шашлык, пицца, овощи, крупа выпечка, сушка, подогрев.","1950 (1450 Вт верх, 500 Вт низ)",Нержавеющая сталь,керамическое,керамическое,30 - 200С,1 минута - 600 минут,"Функция пара, функция сковороды, функция поддержания температуры, умная пауза, визуальное окно, автоматическая подсветка, тихий сигнал кнопок и сигнал о завершении приготовления, стальной корпус и камера, wi-fi","Аэрогриль, Резервуар для воды , Съемная решетка, съемная чаша-форма, Руководство по эксплуатации , Книга рецептов.","АА-113 — бумажные вкладыши круглые
АА-114 — решетка для DK-2200
АА-117 — чаша круглая
АА-131 — формы для кексов
АА-132 — формы прямоугольные 10×7 см
АА-133 — формы квадратные 7×7 см
АА-134 — формы «сердце»
АА-135 — формы «круг»
АА-136 — формы «цветок»
АА-137 — форма для хлеба
АА-138 — форма для тирамису
АА-139 — форма круглая 18,5 см
АА-140 — формы «лапка»
АА-141 — формы «медведи»
АА-142 — формы «сердце»
АА-143 — формы «банан»
АА-144 — формы «бобы»
АА-145 — формы «тигренок»
АА-146 — силиконовая форма
АА-148 — бумажные вкладыши квадратные
АА-151 — решетка с шампурами
АА-191 — сетчатая корзина для аэрогрилей
АА-401 — сменная чаша к аэрогрилю Demiand Sanders DK-2200
АА-253 — круглая форма для аэрогриля с крышкой-пароваркой","Картофель фри : 3–4 порции
Свиные стейки: 2-3 шт
Рыбные стейки : 2-3 шт
Куриные крылья : 8-10 шт
Котлеты : 4-6 штук
Целая курица: средняя (до 1.2 кг примерно)"
С чашей,SANDERS с wi-fi,,металл,6,2 (сверху и снизу),12,"Картофель фри, куриные ножки, куриные крылья, рыба, котлеты, шашлык, пицца, овощи, крупа выпечка, сушка, подогрев.","1950 (1450 Вт верх, 500 Вт низ)",Нержавеющая сталь,керамическое,керамическое,30 - 200С,1 минута - 600 минут,"Функция пара, функция сковороды, функция поддержания температуры, умная пауза, визуальное окно, автоматическая подсветка, тихий сигнал кнопок и сигнал о завершении приготовления, стальной корпус и камера, wi-fi","Аэрогриль, Резервуар для воды , Съемная решетка, съемная чаша-форма, Руководство по эксплуатации , Книга рецептов.","АА-113 — бумажные вкладыши круглые
АА-114 — решетка для DK-2200
АА-117 — чаша круглая
АА-131 — формы для кексов
АА-132 — формы прямоугольные 10×7 см
АА-133 — формы квадратные 7×7 см
АА-134 — формы «сердце»
АА-135 — формы «круг»
АА-136 — формы «цветок»
АА-137 — форма для хлеба
АА-138 — форма для тирамису
АА-139 — форма круглая 18,5 см
АА-140 — формы «лапка»
АА-141 — формы «медведи»
АА-142 — формы «сердце»
АА-143 — формы «банан»
АА-144 — формы «бобы»
АА-145 — формы «тигренок»
АА-146 — силиконовая форма
АА-148 — бумажные вкладыши квадратные
АА-151 — решетка с шампурами
АА-191 — сетчатая корзина для аэрогрилей
АА-401 — сменная чаша к аэрогрилю Demiand Sanders DK-2200
АА-253 — круглая форма для аэрогриля с крышкой-пароваркой","Картофель фри : 3–4 порции
Свиные стейки: 2-3 шт
Рыбные стейки : 2-3 шт
Куриные крылья : 8-10 шт
Котлеты : 4-6 штук
Целая курица: средняя (до 1.2 кг примерно)"
С чашей,SANDERS MAX с wi-fi,DK-2400,черный,9,2 (сверху и снизу),12,"Картофель фри, куриные ножки, куриные крылья, рыба, котлеты, шашлык, пицца, овощи, крупа выпечка, сушка, подогрев.","2200 (1600 Вт верх, 600 Вт низ)",Нержавеющая сталь,керамическое,керамическое,30 - 200С,1 минута - 600 минут,"Функция пара, функция сковороды, функция поддержания температуры, умная пауза, визуальное окно, автоматическая подсветка, тихий сигнал кнопок и сигнал о завершении приготовления, стальной корпус и камера, wi-fi","Аэрогриль, Резервуар для воды , Съемная решетка, сетчатая корзина, Руководство по эксплуатации , Книга рецептов.","АА-113 — бумажные вкладыши круглые
АА-115 — решетка для DK-2400 и DK-2100
АА-117 — чаша круглая
АА-118 — сетчатая корзина для DK-2400
АА-119 — форма для выпечки 6 ячеек
АА-120 — форма для пончиков (6 ячеек)
АА-121 — форма для пончиков (6 ячеек «сердца»)
АА-122 — форма для пончиков (6 ячеек «микс»)
АА-123 — форма для пончиков (6 ячеек «цветы»)
АА-124 — форма для запекания прямоугольная
АА-131 — формы для кексов
АА-132 — формы прямоугольные 10×7 см
АА-133 — формы квадратные 7×7 см
АА-134 — формы «сердце»
АА-135 — формы «круг»
АА-136 — формы «цветок»
АА-137 — форма для хлеба
АА-138 — форма для тирамису
АА-139 — форма круглая 18,5 см
АА-140 — формы «лапка»
АА-141 — формы «медведи»
АА-142 — формы «сердце»
АА-143 — формы «банан»
АА-144 — формы «бобы»
АА-145 — формы «тигренок»
АА-146 — силиконовая форма
АА-147 — силиконовая форма прямоугольная
АА-148 — бумажные вкладыши квадратные
АА-149 — бумажные вкладыши прямоугольные
АА-150 — решетка с 5 шампурами
АА-151 — решетка с 4 шампурами
АА-191 — сетчатая корзина для аэрогрилей
АА-253 — круглая форма для аэрогриля с крышкой-пароваркой
АА-252 — прямоугольная форма для аэрогриля с крышкой-пароваркой","Картофель фри: 4–6 порций
Свиные стейки : 3-4 шт
Рыбные стейки : 3-4 шт
Куриные крылья: 12–16 шт
Котлеты : 8–10 шт
Целая курица: средняя (до 2,5 кг примерно)"
